,coef,pvalue
const,-4323.562990315684,0.0
temp,125.88383583122874,0.0
haj,627.5575100894995,2.136419141061088e-77
ramdan,231.98510985358342,6.48010746475157e-30
Population,-0.0003202044117678744,2.0911189935819906e-80
Total_GDP,0.002895811219274569,1.1276543868016346e-265
