year,power,predicted_power
2011,1851.5808219178082,1813.7176800783311
2012,2030.4125683060108,2074.090793015322
2013,2167.268493150685,2187.1150463908116
2014,2308.6695616438356,2362.752084174256
2015,2576.6849315068494,2575.337556830361
2016,2652.1292236885247,2616.8737511988097
2017,2707.854794520548,2529.6914008661856
2018,2578.805479452055,2657.9586899786345
2019,2537.304109589041,2613.398090614755
2020,2277.1092896174864,2311.716012392109
2021,2385.2147887323945,2572.9440874138427
