Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
15-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1130
16-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1083
17-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,969
18-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1075
19-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1240
20-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1224
21-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1274
22-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1288
23-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1368
24-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1209
25-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1130
26-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1184
27-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1280
28-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1375
29-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1433
30-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1469
31-Mar-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1413
1-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1503
2-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1635
3-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1649
4-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1677
5-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1470
6-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1280
7-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1250
8-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1312
9-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1497
10-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1445
11-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1369
12-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1558
13-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1496
14-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1596
15-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1684
16-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1895
17-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1988
18-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2004
19-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2017
20-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1991
21-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1910
22-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1856
23-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1995
24-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1945
25-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1790
26-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1753
27-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1855
28-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1967
29-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1973
30-Apr-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2037
